"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","REC","TKL ALL","REC YCo","CTC"
"","173303","","406333","","Luke McGary","HOUSTON","87","TE","203","6","3","5","2","0"
"","173392","","419463","","Sam West","MISS STATE","87","TE","138","11","4","2","5","0"
"","173417","","453586","","Sam Peters","MINNESOTA","83","TE","1","1","0","0","0","0"
"","173425","","447810","","Pierce Walsh","MINNESOTA","19","TE","181","10","2","3","1","0"
"","173490","","406545","","Vince Brown II","MISSOURI","12","TE","54","6","0","1","0","0"
"","173544","","420378","","Lawson Luckie","GEORGIA","07","TE","380","10","11","5","5","1"
"","173708","","407273","","Kade McIntyre","OKLAHOMA","19","TE","17","1","0","0","0","0"
"","173966","","446255","","Peter Bario","UCLA","44","TE","6","3","0","0","0","0"
"","174041","","420360","","Zack Marshall","MICHIGAN","83","TE","193","10","13","2","21","1"
"","174050","","418234","","Brennan Parachek","MICH STATE","82","TE","23","4","0","0","0","0"
"","174069","","406692","","Christian Earls","PURDUE","87","TE","253","11","1","2","1","0"
"","174132","","406645","","Kenyon Sadiq","OREGON","18","TE","417","9","30","7","74","4"
"","174255","","406397","","Tony Livingston","FLORIDA","86","TE","169","8","9","1","31","0"
"","174318","","412625","","Maurice Brown II","S CAROLINA","44","TE","96","10","2","3","8","0"
"","174320","","412626","","Connor Cox","N CAROLINA","81","TE","231","9","4","2","8","0"
"","174633","","407170","","Matthew Klopfenstein","BAYLOR","85","TE","233","10","5","4","4","1"
"","174638","","424603","","Hawkins Polley","BAYLOR","86","TE","13","4","0","1","0","0"
"","174656","","429392","","Vince Benetti","IOWA STATE","37","TE","9","1","0","0","0","0"
"","174657","","426838","","Kai Black","IOWA STATE","17","TE","12","2","0","0","0","0"
"","174660","","407624","","Benjamin Brahmer","IOWA STATE","18","TE","492","10","35","3","70","3"
"","174693","","429427","","Tripp Walsh","IOWA STATE","86","TE","12","2","1","0","4","0"
"","174706","","411215","","Jamari Johnson","OREGON","09","TE","313","10","17","7","64","1"
"","174722","","406938","","Ethan Davis","TENNESSEE","00","TE","204","6","9","3","25","3"
"","174765","","406878","","Will Monney","OKLA STATE","86","TE","63","4","3","0","9","0"
"","174798","","423090","","Cole Reemsnyder","VA TECH","99","TE","1","1","0","0","0","0"
"","174803","","429007","","Zeke Wimbush","VA TECH","88","TE","47","8","0","0","0","0"
"","174950","","412346","","George Burhenn","PURDUE","81","TE","138","4","9","4","35","2"
"","174988","","427705","","Max Drag","UCF","80","TE","202","10","3","2","3","2"
"","175102","","420088","","Mason Mini","CAL","85","TE","572","10","35","8","60","4"
"","175134","","407423","","Khamari Anderson","ARIZONA ST","15","TE","197","10","4","1","5","0"
"","175289","","416011","","Adam Moore","SMU","05","TE","31","5","0","0","0","0"
"","175293","","416019","","Tripp Riordan","SMU","84","TE","51","8","0","1","0","0"
"","175398","","420286","","Cort Halsey","N CAROLINA","87","TE","2","1","0","0","0","0"
"","175440","","455859","","TeKai Kirby","VIRGINIA","81","TE","13","1","0","0","0","0"
"","175453","","449614","","Thomas McCluskey","MARYLAND","48","TE","15","3","0","0","0","0"
"","175491","","446895","","Finn Furmanek","PENN STATE","89","TE","13","3","0","0","0","0"
"","175499","","427740","","Ja'Ricous Hairston","VA TECH","13","TE","233","10","10","3","11","1"
"","175521","","406594","","Tucker Ashcraft","WISCONSIN","11","TE","25","2","0","0","0","0"
"","175904","","406331","","Jordon Harris","MISSOURI","86","TE","328","9","3","9","6","0"
"","175909","","406367","","Brett Norfleet","MISSOURI","87","TE","502","9","27","7","28","1"
"","176002","","426446","","Griffin Reimer","NC STATE","85","TE","8","4","1","1","0","1"
"","176079","","419515","","Christian Abney","ILLINOIS","86","TE","146","9","1","10","1","0"
"","176186","","429096","","Spencer Shannon","TEXAS","83","TE","144","9","0","4","0","0"
"","176195","","406311","","Randy Pittman Jr.","FLORIDA ST","13","TE","489","7","20","5","19","1"
"","176224","","449742","","Deakon Tonielli","MICHIGAN","88","TE","53","6","5","0","9","2"
"","176255","","421125","","Jalen Hoffman","MICHIGAN","42","TE","67","10","0","1","0","0"
"","176592","","428944","","Zach Grace","OREGON","44","TE","49","10","0","2","0","0"
"","176617","","424780","","Chico Holt","STANFORD","84","TE","12","5","1","1","4","0"
"","176636","","428572","","Kade Eldridge","WASHINGTON","44","TE","53","7","1","0","2","0"
"","176648","","421132","","Dallen Bentley","UTAH","88","TE","572","10","35","3","57","2"
"","177226","","408141","","Davin Stoffel","ILLINOIS","88","TE","108","10","0","3","0","0"
"","183234","","428435","","Elija Lofton","MIAMI FL","09","TE","306","10","18","7","48","0"
"","183241","","453547","","Owen Ruskavich","MIAMI FL","44","TE","23","5","0","0","0","0"
"","183291","","443059","","John Rogers","VIRGINIA","89","TE","174","11","7","5","13","1"
"","183310","","428180","","Landen Thomas","FLORIDA ST","18","TE","110","8","3","0","4","1"
"","183343","","431800","","Ryan Ward","W VIRGINIA","84","TE","198","11","5","6","9","0"
"","183360","","429083","","Dante Daniels","NC STATE","87","TE","151","10","5","1","13","1"
"","183384","","429192","","Dominic Deluca","WAKE","86","TE","41","10","1","0","0","1"
"","183505","","449098","","Tanner Hollinger","ILLINOIS","89","TE","5","1","0","1","0","0"
"","183518","","461054","","Gavin Hoffman","MISSOURI","88","TE","15","2","0","2","0","0"
"","183559","","429474","","Ian Flynt","NC STATE","86","TE","3","1","0","0","0","0"
"","183563","","429488","","Eric Ingwerson","NEBRASKA","82","TE","16","2","0","0","0","0"
"","183568","","429491","","Danny King","NEBRASKA","49","TE","3","1","0","0","0","0"
"","183573","","429502","","Carter Nelson","NEBRASKA","29","TE","57","7","1","0","3","0"
"","183611","","428527","","Luke Reynolds","PENN STATE","85","TE","361","10","22","5","50","2"
"","183625","","441742","","Joey Olsen","USC","18","TE","7","1","0","1","0","0"
"","183635","","429712","","Decker DeGraaf","WASHINGTON","86","TE","560","10","26","7","52","2"
"","183669","","441719","","Grant Stec","WISCONSIN","85","TE","194","10","5","3","6","0"
"","183686","","433935","","Hogan Hansen","MICHIGAN","80","TE","53","3","4","0","7","0"
"","183742","","453557","","James Giggey","ARIZONA ST","45","TE","6","2","0","0","0","0"
"","183786","","450620","","Will Zundel","BYU","83","TE","12","1","0","0","0","0"
"","183794","","429611","","Gavin Grover","CINCINNATI","87","TE","111","10","3","0","7","0"
"","183803","","429654","","Devyn Zahursky","CINCINNATI","83","TE","54","10","0","0","0","0"
"","183847","","428320","","Kylan Fox","UCF","01","TE","223","10","15","1","17","0"
"","183855","","429001","","Hunter Andrews","UTAH","10","TE","105","4","10","1","18","2"
"","183882","","428390","","Jack Sammarco","ALABAMA","85","TE","4","1","0","1","0","0"
"","183894","","463572","","Kaleb Thomas","HOUSTON","35","TE","67","6","0","0","0","0"
"","183909","","429154","","Josh Ford","OKLA STATE","40","TE","180","4","3","5","1","0"
"","184098","","443106","","Jack Larsen","NOTRE DAME","85","TE","41","5","2","2","6","0"
"","184453","","428561","","Trey'Dez Green","LSU","14","TE","349","8","24","1","63","7"
"","184519","","434157","","Jordan Washington","TEXAS","84","TE","204","10","8","2","27","0"
"","184543","","429375","","Caleb Odom","OLE MISS","04","TE","149","11","15","0","50","0"
"","184563","","428426","","Colton Heinrich","GEORGIA","82","TE","16","3","0","0","0","0"
"","184572","","428463","","Jaden Reddell","GEORGIA","23","TE","85","10","0","0","0","0"
"","184599","","449752","","Davon Mitchell","LOUISVILLE","84","TE","11","2","1","0","2","0"
"","184726","","445018","","Julian Johnson","MINNESOTA","82","TE","28","1","0","1","0","0"
"","184730","","448278","","Jacob Simpson","MINNESOTA","88","TE","29","1","0","0","0","0"
"","184824","","429386","","Cooper Alexander","IOWA STATE","87","TE","131","10","4","1","5","1"
"","184839","","441754","","Keaton Roskop","IOWA STATE","85","TE","62","8","0","1","0","0"
"","184864","","428951","","Roger Saleapaga","OREGON","83","TE","113","10","3","0","4","0"
"","184878","","430055","","Jacob Stewart","LOUISVILLE","86","TE","65","8","3","0","6","0"
"","184903","","433985","","Trey Jackson","TEXAS TECH","88","TE","47","8","0","1","0","0"
"","186590","","359206","","Cameron Barmore","ARIZONA","80","TE","256","9","11","2","28","4"
"","188179","","0","","Jack Olyphant","CAL","90","TE","5","1","0","0","0","0"
"","188202","","455893","","Lyviel Waters","CINCINNATI","85","TE","6","3","0","0","0","0"
"","188505","","449661","","Larry Benton III","VANDERBILT","48","TE","11","3","0","1","0","0"
"","188510","","436693","","Brycen Coleman","VANDERBILT","82","TE","37","10","3","0","-4","1"
"","188513","","458915","","Witt Edwards","VANDERBILT","86","TE","9","1","0","0","0","0"
"","188884","","429211","","Cole Harrison","TENNESSEE","86","TE","19","3","1","0","0","0"
"","189360","","431619","","Christian Bentancur","CLEMSON","87","TE","206","10","12","3","43","1"
"","189418","","431646","","Luke Harpring","GA TECH","15","TE","187","10","13","1","31","0"
"","189434","","0","","Hunter Carver","MIAMI FL","80","TE","1","1","0","0","0","0"
"","189446","","456117","","Dylan Reiman","MIAMI FL","46","TE","1","1","0","0","0","0"
"","189541","","428556","","Malachi Thomas","PITTSBURGH","82","TE","185","9","12","1","57","1"
"","189649","","450552","","Noah Moeaki","BYU","82","TE","46","9","1","0","0","0"
"","189675","","445713","","Michael Burt","IOWA","80","TE","45","5","0","2","0","0"
"","189695","","445025","","DJ Vonnahme","IOWA","81","TE","287","9","16","3","40","3"
"","189873","","450616","","Ethan Wood","BYU","24","TE","3","1","0","0","0","0"
"","189929","","451366","","Greg Genross","W VIRGINIA","82","TE","26","4","0","2","0","0"
"","190093","","468345","","Will Loerzel","WAKE","85","TE","69","3","0","3","0","0"
"","190183","","447448","","Brady Clough","BOSTON COL","84","TE","11","2","1","0","0","0"
"","190218","","428305","","Whit Hafer","MISSOURI","74","TE","18","4","0","1","0","0"
"","190220","","428352","","Jude James","MISSOURI","89","TE","115","9","6","4","33","1"
"","190237","","429664","","Michael Smith","S CAROLINA","04","TE","63","4","2","2","3","0"
"","190273","","446312","","Amir Jackson","FLORIDA","07","TE","99","9","3","1","0","0"
"","190350","","431752","","Walker Lyons","USC","85","TE","314","10","16","1","40","3"
"","190351","","449512","","Walter Matthews","USC","35","TE","2","2","0","0","0","0"
"","190448","","429570","","Willie Rodriguez","KENTUCKY","81","TE","390","10","17","3","32","1"
"","190478","","449340","","Jackson Gister","RUTGERS","82","TE","3","1","1","1","3","0"
"","190565","","453270","","Luke Douglas","FLORIDA ST","45","TE","13","2","0","1","0","0"
"","190583","","429767","","Hamilton Atkins","LOUISVILLE","90","TE","12","4","0","0","0","0"
"","190592","","429831","","Dylan Mesman","LOUISVILLE","87","TE","17","3","0","0","0","0"
"","190808","","429275","","Traville Frederick Jr.","HOUSTON","85","TE","55","8","1","2","2","0"
"","190892","","449251","","Patrick Schaller","NWESTERN","85","TE","20","2","0","1","0","0"
"","190956","","449449","","Luca Puccinelli","PURDUE","85","TE","2","1","0","1","0","0"
"","191133","","429353","","Jay Lindsey","ALABAMA","88","TE","37","8","0","2","0","0"
"","191163","","448784","","Carson Bruhn","KANSAS","44","TE","231","8","5","3","4","0"
"","191165","","387883","","Leyton Cure","KANSAS","87","TE","133","9","3","0","11","0"
"","191188","","450662","","Jack Harper","OLE MISS","42","TE","2","2","0","0","0","0"
"","191206","","455954","","Sam Paxton","MISS STATE","42","TE","1","1","0","0","0","0"
"","191275","","446911","","Hunter Ousley","AUBURN","40","TE","5","1","0","0","0","0"
"","191362","","446364","","Grayson Brousseau","OKLA STATE","85","TE","179","8","6","4","9","1"
"","193238","","428290","","Benji Blackburn","STANFORD","88","TE","202","10","6","6","4","1"
"","197629","","445703","","Elijah Washington-Baker","SYRACUSE","84","TE","39","8","1","1","0","0"
"","198085","","448994","","Marshall Pritchett","ALABAMA","14","TE","15","1","2","1","2","0"
"","198128","","456317","","AJ Ia","ARIZONA ST","14","TE","23","2","1","0","2","0"
"","198156","","453473","","Ryan Ghea","AUBURN","84","TE","31","5","2","1","4","0"
"","198258","","455880","","Kellen Davis","CINCINNATI","86","TE","2","1","0","0","0","0"
"","198269","","455892","","Ka'Maurri Smith","CINCINNATI","82","TE","2","1","0","0","0","0"
"","198270","","455896","","DaMari Witherspoon","CINCINNATI","88","TE","2","1","0","0","0","0"
"","198297","","409440","","Zach Atkins","COLORADO","85","TE","355","10","15","9","22","3"
"","198308","","468360","","Corbin Laisure","COLORADO","88","TE","9","1","0","1","0","0"
"","198423","","0","","Greyson Labiad","FLORIDA ST","89","TE","41","3","1","0","4","0"
"","198468","","448909","","Ethan Barbour","GEORGIA","09","TE","34","2","0","0","0","0"
"","198475","","449039","","Elyiss Williams","GEORGIA","10","TE","80","8","6","2","12","0"
"","198510","","0","","Logan Farrell","ILLINOIS","16","TE","1","1","0","0","0","0"
"","198545","","453300","","Andrew Barker","INDIANA","85","TE","1","1","0","0","0","0"
"","198800","","456024","","Eli Owens","MICHIGAN","45","TE","9","1","0","0","0","0"
"","198976","","463620","","Preston Douglas","NC STATE","82","TE","18","2","0","0","0","0"
"","199009","","453366","","Robby Preckel","NWESTERN","41","TE","36","6","0","1","0","0"
"","199042","","464270","","Trynae Washington","OKLAHOMA","22","TE","2","1","0","0","0","0"
"","199083","","453598","","Max Hunt","PITTSBURGH","86","TE","6","1","1","0","2","0"
"","199270","","449858","","Mason Peterson","TCU","87","TE","1","1","0","0","0","0"
"","199293","","453711","","Emaree Winston","TEXAS","85","TE","27","6","2","0","10","0"
"","199386","","458755","","Caden Piening","UCF","18","TE","28","2","0","0","0","0"
"","199416","","449587","","Taniela Tupou","USC","88","TE","15","1","0","1","0","0"
"","199447","","461006","","Sione Motuapuaka","UTAH","44","TE","18","2","0","1","0","0"
"","199526","","453705","","Baron Naone","WASHINGTON","85","TE","14","3","0","0","0","0"
"","199527","","0","","Austin Simmons","WASHINGTON","45","TE","2","1","0","0","0","0"
"","199573","","0","","Emmett Bork","WISCONSIN","82","TE","1","1","0","0","0","0"
"","199623","","455794","","Ian Schieffelin","CLEMSON","18","TE","13","4","1","0","1","0"
"","199716","","468356","","Wyatt Herbel","HOUSTON","86","TE","4","2","0","0","0","0"
"","199849","","449049","","Nate Roberts","OHIO STATE","83","TE","111","10","4","3","1","0"
"","199942","","453953","","Reno Roehm","S CAROLINA","81","TE","2","1","0","1","0","0"
"","199966","","451100","","DaSaahn Brame","TENNESSEE","07","TE","48","6","5","0","13","0"
"","199978","","451171","","Jack Van Dorselaer","TENNESSEE","03","TE","155","10","3","7","5","0"
"","199987","","453299","","Kiotti Armstrong","TEXAS A&M","21","TE","11","1","0","0","0","0"
"","200081","","450554","","Jeremiah Beck Jr.","ARKANSAS","33","TE","9","1","0","0","0","0"
"","200094","","450619","","Gavin Garretson","ARKANSAS","89","TE","4","4","0","0","0","0"
"","200124","","466475","","Micah Jones","FLORIDA","84","TE","1","1","0","0","0","0"
"","200130","","449471","","Cameron Kossmann","FLORIDA","87","TE","1","1","0","0","0","0"
"","200168","","453550","","Brock Schott","MIAMI FL","19","TE","9","2","2","0","17","0"
"","200169","","453541","","Luka Gilbert","MIAMI FL","88","TE","50","8","2","1","7","0"
"","200266","","458919","","Elijah Rooney","VANDERBILT","49","TE","3","1","0","0","0","0"
"","200285","","455865","","Willem Thurber","VIRGINIA","83","TE","3","1","0","0","0","0"
"","200310","","449649","","J.T. Taggart","MARYLAND","85","TE","51","5","0","2","0","0"
"","200352","","460995","","James Flanigan","NOTRE DAME","88","TE","30","3","0","1","0","0"
"","204058","","469837","","Thomas Meyer","IOWA","85","TE","2","1","0","0","0","0"
"","204137","","456025","","Crandall Quinn","MICHIGAN","46","TE","6","1","0","0","0","0"
"","204186","","469885","","Carson Su'esu'e","OKLA STATE","80","TE","12","1","0","0","0","0"
"","204305","","455817","","Wyatt Bowman","SYRACUSE","87","TE","1","1","0","0","0","0"
"","204390","","453994","","Dallan Coleman","UCF","83","TE","15","3","0","0","0","0"
"","204411","","453661","","Semi Taulanga","UTAH","99","TE","101","8","2","3","9","0"
"","204537","","449219","","Noah Fox-Flores","UCLA","82","TE","53","8","1","0","0","0"
"","204546","","455866","","Walker Wallace","VIRGINIA","88","TE","27","6","0","0","0","0"
"","204602","","448964","","Kaleb Edwards","ALABAMA","81","TE","221","10","5","3","28","0"
"","204985","","466464","","Mikkel Skinner","KENTUCKY","18","TE","9","1","0","0","0","0"
"","205057","","453506","","Jayden Savoury","MICH STATE","31","TE","12","3","1","0","1","0"
"","205080","","450637","","Hayden Bradley","OLE MISS","80","TE","6","1","0","1","0","0"
"","205097","","455960","","Joeseph Skipworth","MISS STATE","88","TE","8","1","0","1","0","0"
"","205232","","456248","","Paul Barton","N CAROLINA","89","TE","1","1","0","0","0","0"
"","205313","","453498","","Brody Lennon","OHIO STATE","87","TE","6","1","0","0","0","0"
"","205378","","453958","","Mike Tyler","S CAROLINA","20","TE","12","2","0","0","0","0"
"","205406","","449086","","Nick Townsend","TEXAS","81","TE","74","9","0","4","0","0"
"","206318","","0","","Nizyi Davis","WISCONSIN","17","TE","1","1","0","0","0","0"
"","207814","","449299","","Kaelan Chudzinski","BOSTON COL","85","TE","190","11","23","1","14","6"
"","207823","","449277","","Stevie Amar Jr.","BOSTON COL","18","TE","5","1","0","0","0","0"
"","211173","","0","","D.J. Johnson","BOSTON COL","89","TE","4","1","0","0","0","0"